iter	Passed	Remaining
616	3652	2267
617	3657	2260
618	3663	2254
619	3668	2248
620	3674	2242
621	3680	2236
622	3686	2230
623	3691	2224
624	3697	2218
625	3703	2212
626	3709	2206
627	3715	2200
628	3721	2194
629	3727	2189
630	3733	2183
631	3738	2176
632	3745	2171
633	3750	2165
634	3755	2158
635	3761	2152
636	3767	2146
637	3773	2140
638	3778	2134
639	3783	2128
640	3789	2122
641	3794	2116
642	3800	2110
643	3806	2104
644	3811	2097
645	3817	2091
646	3823	2086
647	3829	2080
648	3835	2074
649	3841	2068
650	3847	2062
651	3853	2056
652	3859	2050
653	3865	2044
654	3871	2039
655	3876	2033
656	3882	2027
657	3888	2021
658	3894	2015
659	3900	2009
660	3906	2003
661	3911	1997
662	3917	1991
663	3923	1985
664	3928	1979
665	3934	1973
666	3940	1967
667	3945	1961
668	3951	1955
669	3957	1949
670	3963	1943
671	3969	1937
672	3974	1931
673	3980	1925
674	3985	1918
675	3991	1913
676	3997	1907
677	4003	1901
678	4009	1895
679	4015	1889
680	4021	1883
681	4026	1877
682	4032	1871
683	4037	1865
684	4043	1859
685	4049	1853
686	4054	1847
687	4061	1841
688	4067	1835
689	4073	1829
690	4078	1824
691	4084	1818
692	4091	1812
693	4096	1806
694	4102	1800
695	4108	1794
696	4114	1788
697	4120	1782
698	4126	1776
699	4132	1770
700	4137	1764
701	4143	1758
702	4149	1753
703	4155	1747
704	4161	1741
705	4167	1735
706	4172	1729
707	4179	1723
708	4184	1717
709	4190	1711
710	4196	1705
711	4202	1700
712	4209	1694
713	4215	1688
714	4221	1682
715	4227	1676
716	4233	1670
717	4239	1664
718	4244	1658
719	4250	1653
720	4256	1647
721	4262	1641
722	4267	1635
723	4273	1629
724	4279	1623
725	4285	1617
726	4291	1611
727	4297	1605
728	4303	1599
729	4308	1593
730	4314	1587
731	4320	1581
732	4326	1575
733	4331	1569
734	4337	1563
735	4344	1558
736	4350	1552
737	4356	1546
738	4362	1540
739	4367	1534
740	4374	1528
741	4379	1522
742	4385	1517
743	4391	1511
744	4397	1505
745	4402	1499
746	4408	1493
747	4414	1487
748	4419	1481
749	4425	1475
750	4431	1469
751	4436	1463
752	4442	1457
753	4448	1451
754	4455	1445
755	4460	1439
756	4466	1433
757	4472	1427
758	4477	1421
759	4483	1415
760	4489	1409
761	4495	1403
762	4501	1398
763	4506	1392
764	4512	1386
765	4518	1380
766	4524	1374
767	4530	1368
768	4536	1362
769	4542	1356
770	4548	1350
